name,address,lat,lng
"Bar Dow Jones Barcelona, the drink exchange","Calle Bruc 97, corner with calle Valencia, Barcelona, 08009, Spain",41.39552721,2.16763592
KFC Plaza Catalunya,"Plaza Catalunya 8, Barcelona, 08007, Spain",41.38728671,2.168315514
Cafe Teatre Llantiol,"Carrer de la Riereta 7, Barcelona, 08001, Spain",41.37884755,2.167444217
Hotel barcelona universal,"Avinguda ParalÂ·lel, 76-80, Barcelona, 08001, Spain",41.3750275,2.168408025
aladdin,"Avdi Gaudi 50 , Barcelona, 08025, Spain",41.40862188,2.174428842
Peix D'OR,"c/ Ausias March 73 -, 75, Barcelona, 08913, Spain",41.3940707,2.179196135
Loscaracoles,"Carrer dÂ´Escudellers 14, Barcelona, 08002, Spain",41.37966135,2.176485003
LA GAVINA,"Andrea Doria,18, Barcelona, 08003, Spain",41.38063447,2.185331238
Marmalade Barcelona,"C/Riera Alta NÂº4-6, Barcelona, 08001, Spain",41.45132504,2.189942509
"FogaratÃ©, Sant Andreu (Lugar)","Barcelona, 08030, Spain",41.44156287,2.190871988
Versalles Sant Andreu,"C/ Gran de Sant Andreu 255, Barcelona, 08030, Spain",41.43535666,2.189685457
Cerveceria 100 Montaditos La Maquinista,"Sant Andreu, , Spain",41.44030927,2.198265302
KFC la maquinista,"Barcelona, , Spain",41.43991909,2.198921156
Restaurant L'Ã€pat,"Rb Guipuzcoa 65, Barcelona, 08020, Spain",41.41913953,2.198226925
Bar Primer Euro,"estadella 76 bajos, Barcelona, 08030, Spain",41.43543461,2.205422043
Bowling Pedralbes,"Avinguda del Doctor MaraÃ±Ã_n 11, Barcelona, 08028, Spain",41.38068533,2.116986426
Salcafe Restaurante,"Pg MarÃ_tim de la Barceloneta s/n, Barcelona, 08003, Spain",41.38106392,2.193744932
"Mc Donald's La Maquinista, Diagonal Mar y Les GlÃ_ries","Av. Diagonal 3, Barcelona, 08019, Spain",41.37853487,2.191358822
Makamaka Beach Burger Cafe,"Passeig de Joan de BorbÃ_ Comte de Barcelona 76 , Barcelona, 08039, Spain",41.3759245,2.188746732
Restaurant Can AlmÃ ,"Carrer Muntanya 90, Barcelona, 8026, Spain",41.34505275,2.147366446
la jijonenca,"cami reial,115, Barcelona, 08184, Spain",41.41558,2.09214
Nueva Ola - Beach bar,"Playa Llevant, Barcelona, 08019, Spain",41.40416129,2.217499677
Restaurante CatamarÃ¡n,"Avd. Litoral, 44, Barcelona, 08005, Spain",41.39456529,2.206304251
Mcauto,"Barcelona, 08005, Spain",41.39288168,2.204017674
L'EscamarlÃ ,"Passeig MarÃ_tim del Bogatell 40, Barcelona, 8005, Spain",41.39253059,2.204772696
La lola Restaurant,"cami ral #10 , Barcelona, , Spain",41.42465,2.1073
Resting Place,"Plaza Tibidabo, 3-4, Barcelona, 08035, Spain",41.42155,2.11903
Joker,"Gran, 27, SANT VICENÃ‡ DE CASTELLET, 08295, Spain",41.32571882,2.141739288
bar restaurante lali,"rasos de peguera 135 , Barcelona, 08033, Spain",41.4602965,2.173220809
Miramar Lounge,"Carretera Miramar, 40, Barcelona, 08038, Spain",41.37069266,2.171657026
